Video_ID,Channel_Name,Title,Content_Category,Published_Date,Upload_Hour,Duration_Seconds,Has_Captions,Tags_Count,Views,Likes,Comments,Channel_Subscribers,Age_in_Days,Engagement_Rate_%,Views_Per_Day,Viral_Multiplier,Publish_Month,Publish_Day_OfWeek,Clean_Title,Content_Medium,Performance_Tier,Upload_Time_Bucket,Engagement_Momentum,Viral_Probability_Score,Duration_Minutes,Views_Per_Minute,Tag_Impact_Ratio,Log_Views,Log_Subscribers,Clean_Tier
HDv_k2Ma3ec,Project IAS,Rich Background 🤑 UPSC Interview | Mock Test,General Education,2025-01-27,12,49,False,7,47555769,1396988,1782,276000,576,2.94,82562.1,172.3,January,Monday,Rich Background  UPSC Interview | Mock Test,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),5.893892705215218,16.470543230268838,0.8166666666666667,58231553.87755102,6793681.285714285,17.677413685545478,12.52815976788113,Mega Viral (Top 5%)
5lk8IRDsnOs,Superclever,Luca(faster) #superclever #abacus #franchise #math #school #mentalarithmetic #education #abacusmath,O/L Content,2024-01-10,12,24,False,0,73378657,1610049,5373,1990000,959,2.2,76515.81,36.87,January,Wednesday,Lucafaster superclever abacus franchise math school mentalarithmetic education abacusmath,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),4.424941982789355,14.852651231841566,0.4,183446642.5,73378657.0,18.111143688362226,14.503645699213111,Mega Viral (Top 5%)
TOm9aeCWsSI,Your Math Bestie,How this math genius solved this problem,General Education,2024-04-15,20,33,False,0,53599190,1559472,12716,262000,863,2.93,62107.98,204.58,April,Monday,How this math genius solved this problem,Mixed / General,Mega Viral (Top 5%),Prime Time (5PM - 10PM),5.937634505297561,16.35758893781282,0.55,97453072.72727272,53599190.0,17.797044532643543,12.476103599529843,Mega Viral (Top 5%)
avuns6atjY8,Life is karma,Lee Kuan 's Timeless Advice to a Pretty Girl 😅 #love #education #motivation,Motivation & Tips,2025-04-27,13,46,False,0,28772792,326657,5659,417000,486,1.15,59203.28,69.0,April,Sunday,Lee Kuan s Timeless Advice to a Pretty Girl  love education motivation,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),2.368935903057305,15.222838974136373,0.7666666666666667,37529728.69565217,28772792.0,17.174940811107714,12.940843898859598,Mega Viral (Top 5%)
IYbEl3XpMuo,Chemteacherphil,Hydrophobic Club Moss Spores,General Education,2022-11-12,19,31,False,0,80570637,2431671,15301,1430000,1383,3.04,58257.87,56.34,November,Saturday,Hydrophobic Club Moss Spores,Mixed / General,Mega Viral (Top 5%),Prime Time (5PM - 10PM),6.131076014702478,15.004039536715299,0.5166666666666667,155943168.38709676,80570637.0,18.204644848302145,14.173185701536545,Mega Viral (Top 5%)
TsSrCcpkJ9k,Sanchana Shaju,Result reaction😱Tamilnadu 12th board exam results#tnexams #result,General Education,2025-05-08,8,51,False,0,24713119,411078,1248,23300,475,1.67,52027.62,1060.65,May,Thursday,Result reactionTamilnadu 12th board exam resultstnexams result,Tamil Medium,Mega Viral (Top 5%),Morning (5AM - 12PM),3.3520495733460436,17.826167235237296,0.85,29074257.647058826,24713119.0,17.022844834664255,10.056251557087757,Mega Viral (Top 5%)
MhnW3ZV2eO0,Daham Sithuwili (දහම් සිතුවිලි),🥹මේ කුණු ගොඩ සුද්ද වෙන තුරු සක්විති රජෙක් පහළ වෙන්නේ නෑ🙏 #viral #srilanka #youtubeshorts #බුදුදහම,A/L Content,2026-08-21,13,32,False,4,246716,15570,280,14100,5,6.42,49343.2,17.5,August,Friday,           viral srilanka youtubeshorts ,Mixed / General,Above Average,Afternoon (12PM - 5PM),13.189254041083675,13.66875728307915,0.5333333333333333,462592.5,61679.0,12.4159972097501,9.55400099583723,Above Average
ghTgjGfG2KU,Mathematics Lab,She Broke The Record || #maths #competition || 😲😲😲🤯🤯🤯,General Education,2024-10-21,10,33,False,16,30088495,896644,13421,53300,674,3.02,44641.68,564.51,October,Monday,She Broke The Record || maths competition || ,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),6.183070971146945,17.042381368661776,0.55,54706354.54545454,1880530.9375,17.219653463973835,10.883710371704016,Mega Viral (Top 5%)
dsP3XwLCbY4,Gohar Khan,Old School Computers,O/L Content,2024-04-24,7,35,False,0,34556335,1350918,4438,7810000,854,3.92,40464.09,4.42,April,Wednesday,Old School Computers,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),7.882855632693688,12.094315480418198,0.5833333333333334,59239431.428571425,34556335.0,17.35810147776125,15.870915649856833,Mega Viral (Top 5%)
Ul9cjg4C_DM,G - CHAMP ABACUS PADEGAON,G champ abacus 🧮 average visualization,General Education,2025-02-22,4,13,False,0,20972367,285488,562,18800,550,1.36,38131.58,1115.55,February,Saturday,G champ abacus  average visualization,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),2.735914358164722,17.565900948507664,0.21666666666666667,96795540.0,20972367.0,16.85871631972641,9.841665338892785,Mega Viral (Top 5%)
rKGG-02ZrXM,Saksham Skills Development Academy,Abacus - the whole-brain development programme #maths #education #kids #best #study #skills #shorts,Motivation & Tips,2023-08-21,0,17,False,1,36398543,573035,0,384000,1101,1.57,33059.53,94.79,August,Monday,Abacus  the wholebrain development programme maths education kids best study skills shorts,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),3.1486699893454526,14.95772939227322,0.2833333333333333,128465445.88235295,36398543.0,17.41003933180695,12.85840043573314,Mega Viral (Top 5%)
knTAXh7yTVE,TIKTOKTAMIL360,Exam Result...😅 @tiktoktamil360 #shorts #exam #result #trending,General Education,2025-04-24,9,19,False,0,15511336,137968,0,2330000,489,0.89,31720.52,6.66,April,Thursday,Exam Result tiktoktamil360 shorts exam result trending,Tamil Medium,Mega Viral (Top 5%),Morning (5AM - 12PM),1.7789312281031113,12.260843287131824,0.31666666666666665,48983166.315789476,15511336.0,16.557081733887536,14.66137925472634,Mega Viral (Top 5%)
68kyLxIql30,English Speeches,I ate one meal a day | Samantha Ruth Prabhu,A/L Content,2022-10-26,7,59,False,0,38844119,1975284,2682,6480000,1400,5.09,27745.8,5.99,October,Wednesday,I ate one meal a day | Samantha Ruth Prabhu,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),10.204834353431982,12.020937185421113,0.9833333333333333,39502493.89830509,38844119.0,17.475067271971806,15.684231222649434,Mega Viral (Top 5%)
6GsM0nYD0FM,Sharmila George,Students Going To School 🤪 #shorts #sharmilageorge,O/L Content,2022-01-07,11,59,False,0,46549084,1569942,2873,2940000,1692,3.38,27511.28,15.83,January,Friday,Students Going To School  shorts sharmilageorge,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),6.776178452834862,12.984260551454033,0.9833333333333333,47338051.52542373,46549084.0,17.656017905210597,14.89392047945086,Mega Viral (Top 5%)
lF0NeBtLFqg,Andy Jiang,The Most CLEVER Essay Ever #shorts,General Education,2024-09-26,2,60,False,0,15765110,1351827,3551,3440000,699,8.6,22553.81,4.58,September,Thursday,The Most CLEVER Essay Ever shorts,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),17.262226524267827,11.545367967484504,1.0,15765110.0,15765110.0,16.573309891849927,15.050982320047213,Mega Viral (Top 5%)
tsCs7X80ud8,Bari Science Lab,Open any Physics Book & Ask me any question. I'll solve it in 10 Sec,General Education,2024-08-25,15,59,False,0,14438011,451687,5866,1420000,731,3.17,19751.04,10.17,August,Sunday,Open any Physics Book  Ask me any question Ill solve it in 10 Sec,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),6.460058798957833,12.210408615610664,0.9833333333333333,14682723.050847458,14438011.0,16.485375008820945,14.166168133802548,Mega Viral (Top 5%)
Oqogt-cE6MM,Maneesh Vishnu,Taste of happiness ❤️💯 #youtubeshorts #couplegoals #mother,General Education,2023-06-18,8,28,False,0,18350977,523335,787,11900000,1165,2.86,15751.91,1.54,June,Sunday,Taste of happiness  youtubeshorts couplegoals mother,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),5.725063030704033,10.0965405459318,0.4666666666666667,39323522.14285714,18350977.0,16.725193428047344,16.29204904211537,Mega Viral (Top 5%)
Y7C5i9KZDWY,Phomemo,Take notes with a mini printer that doesn’t use ink!📚#study #studywithme #studyvlog #phomemo #fyp,Motivation & Tips,2023-05-12,15,10,False,37,17882772,487371,3460,128000,1202,2.74,14877.51,139.71,May,Friday,Take notes with a mini printer that doesnt use inkstudy studywithme studyvlog phomemo fyp,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),5.547473288816745,14.547175282444645,0.16666666666666666,107296632.0,483318.1621621622,16.69934840516997,11.759793355371237,Mega Viral (Top 5%)
UovePMvwhvs,JuicedItUp,1st VS 4th Year of Computer Science,General Education,2025-08-09,18,27,False,0,5552529,138005,1657,227000,382,2.52,14535.42,24.46,August,Saturday,1st VS 4th Year of Computer Science,Mixed / General,High Performing (Top 25%),Prime Time (5PM - 10PM),5.120099327711751,12.78138565125115,0.45,12338953.333333334,5552529.0,15.529764237707758,12.33270970174018,High Performing (Top 25%)
ATxoHEeUZsQ,SH Zoom Tech,simple science experiment | hot water and normal water 🔥😃 #shorts #video #school,A/L Content,2023-06-20,2,31,False,0,16885233,267286,310,178000,1163,1.58,14518.69,94.86,June,Tuesday,simple science experiment | hot water and normal water  shorts video school,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),3.175093882329015,14.135594910460494,0.5166666666666667,32681096.129032254,16885233.0,16.64195007016003,12.08954444723597,Mega Viral (Top 5%)
WAmwp-7NOlk,STUDY THAMBI ,How to Get 100 Marks in Maths 📚🚀 #shorts #studytips,Motivation & Tips,2025-09-16,14,39,False,13,3932992,86470,8608,112000,344,2.42,11433.12,35.12,September,Tuesday,How to Get 100 Marks in Maths  shorts studytips,Mixed / General,High Performing (Top 25%),Afternoon (12PM - 5PM),5.491493499096871,12.903042944650181,0.65,6050756.923076923,302537.8461538461,15.184911271600514,11.626263078808801,High Performing (Top 25%)
vm5VYIznqt4,LKLogic,"At, On , In . When do you use it? English Grammar Test",General Education,2023-05-19,14,47,False,0,13640638,495812,29072,3210000,1195,3.85,11414.76,4.25,May,Friday,At On  In  When do you use it English Grammar Test,English Medium,Mega Viral (Top 5%),Afternoon (12PM - 5PM),8.335269948517071,10.789602129645878,0.7833333333333333,17413580.425531916,13640638.0,16.42856405678961,14.981781806632629,Mega Viral (Top 5%)
utXyHKcb9GM,Gohar Khan,The Hardest Math Test,General Education,2021-10-25,6,28,False,0,18977742,682912,6382,7810000,1766,3.63,10746.17,2.43,October,Monday,The Hardest Math Test,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),7.365122784364968,10.170234242441678,0.4666666666666667,40666590.0,18977742.0,16.75877742942815,15.870915649856833,Mega Viral (Top 5%)
3C_0_IeI3t4,SL RUGBY EDITZ ,School Rugby best player | Shan Althaf Edit 4 #edit #srilanka #rugby #viral,O/L Content,2026-08-23,2,32,False,0,31925,1374,18,2920,3,4.36,10641.67,10.93,August,Sunday,School Rugby best player | Shan Althaf Edit 4 edit srilanka rugby viral,Mixed / General,Standard / Niche,Night / Late (10PM - 5AM),8.88958496476116,11.664052605075973,0.5333333333333333,59859.375,31925.0,10.371176003824424,7.979681302387741,Standard  Niche
qtGbUEB4Mkk,Gohar Khan,Books That’ll Make You Smarter,General Education,2023-07-02,1,27,False,0,11874417,546935,2639,7810000,1151,4.63,10316.61,1.52,July,Sunday,Books Thatll Make You Smarter,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),9.323110347227995,9.660284599962125,0.45,26387593.333333332,11874417.0,16.289896896157607,15.870915649856833,Mega Viral (Top 5%)
2DNqYAe17-A,BlackSheep Value,B.Com Ku Tamil la Enna Varum..? 🤔| #shorts | Gangstars | Bs Value,General Education,2023-03-07,9,53,False,5,12895194,543978,1859,834000,1268,4.23,10169.71,15.46,March,Tuesday,BCom Ku Tamil la Enna Varum | shorts | Gangstars | Bs Value,Tamil Medium,Mega Viral (Top 5%),Morning (5AM - 12PM),8.508991799580526,11.965431376897756,0.8833333333333333,14598332.83018868,2579038.8,16.37236531932361,13.633989880380932,Mega Viral (Top 5%)
622EXk_tpmg,The Life Lesson ,A boy asked funny questions to APJ Abdul Kalam sir about the rocket.🚀 #inspiration #shortvideo,General Education,2025-02-27,14,19,False,0,5463049,162832,271,30600,545,2.99,10023.94,178.53,February,Thursday,A boy asked funny questions to APJ Abdul Kalam sir about the rocket inspiration shortvideo,Mixed / General,High Performing (Top 25%),Afternoon (12PM - 5PM),5.986016233791789,14.397488724040429,0.31666666666666665,17251733.684210528,5463049.0,15.513517799816293,10.328787967145063,High Performing (Top 25%)
ge_YS8FFVuM,MRS CAREER GUIDE,TOP 10 HIGH SALARY Engineering Course | Best Engineering Jobs 2023,General Education,2023-08-18,6,37,False,9,10900274,368483,1683,78500,1104,3.4,9873.44,138.86,August,Friday,TOP 10 HIGH SALARY Engineering Course | Best Engineering Jobs 2023,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),6.838185902482818,14.13107056331216,0.6166666666666667,17676120.0,1211141.5555555555,16.204298576238916,11.270866642542865,Mega Viral (Top 5%)
4pyiBrdCvMY,Medical Aspirants,MBBS MOtivation ✨. NEET Motivation | MDCAT Motivation 2023  |#pmdc  #neet #mdcat #study#aiims #etea,Motivation & Tips,2023-07-21,18,19,False,0,10889031,504274,2209,179000,1132,4.65,9619.29,60.83,July,Friday,MBBS MOtivation  NEET Motivation | MDCAT Motivation 2023  |pmdc  neet mdcat studyaiims etea,Mixed / General,Mega Viral (Top 5%),Prime Time (5PM - 10PM),9.363486980613795,13.279610533682009,0.31666666666666665,34386413.68421053,10889031.0,16.2032666020694,12.095146671399466,Mega Viral (Top 5%)
vWcy0LHmuZg,Bikash das Kumar,china vs india || mathematics challenge || 😂😂🤣😅,General Education,2021-06-08,5,12,False,0,17869223,182326,5060,139000,1905,1.05,9380.17,128.56,June,Tuesday,china vs india || mathematics challenge || ,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),2.182254930726423,14.002749716178409,0.2,89346115.0,17869223.0,16.69859046145854,11.842236406331555,Mega Viral (Top 5%)
