Video_ID,Channel_Name,Title,Content_Category,Published_Date,Upload_Hour,Duration_Seconds,Has_Captions,Tags_Count,Views,Likes,Comments,Channel_Subscribers,Age_in_Days,Engagement_Rate_%,Views_Per_Day,Viral_Multiplier
HDv_k2Ma3ec,Project IAS,Rich Background 🤑 UPSC Interview | Mock Test,General Education,2025-01-27,12,49,False,7,47555769,1396988,1782,276000,576,2.94,82562.1,172.3
5lk8IRDsnOs,Superclever,Luca(faster) #superclever #abacus #franchise #math #school #mentalarithmetic #education #abacusmath,O/L Content,2024-01-10,12,24,False,0,73378657,1610049,5373,1990000,959,2.2,76515.81,36.87
TOm9aeCWsSI,Your Math Bestie,How this math genius solved this problem,General Education,2024-04-15,20,33,False,0,53599190,1559472,12716,262000,863,2.93,62107.98,204.58
avuns6atjY8,Life is karma,Lee Kuan 's Timeless Advice to a Pretty Girl 😅 #love #education #motivation,Motivation & Tips,2025-04-27,13,46,False,0,28772792,326657,5659,417000,486,1.15,59203.28,69.0
IYbEl3XpMuo,Chemteacherphil,Hydrophobic Club Moss Spores,General Education,2022-11-12,19,31,False,0,80570637,2431671,15301,1430000,1383,3.04,58257.87,56.34
TsSrCcpkJ9k,Sanchana Shaju,Result reaction😱Tamilnadu 12th board exam results#tnexams #result,General Education,2025-05-08,8,51,False,0,24713119,411078,1248,23300,475,1.67,52027.62,1060.65
MhnW3ZV2eO0,Daham Sithuwili (දහම් සිතුවිලි),🥹මේ කුණු ගොඩ සුද්ද වෙන තුරු සක්විති රජෙක් පහළ වෙන්නේ නෑ🙏 #viral #srilanka #youtubeshorts #බුදුදහම,A/L Content,2026-08-21,13,32,False,4,246716,15570,280,14100,5,6.42,49343.2,17.5
ghTgjGfG2KU,Mathematics Lab,She Broke The Record || #maths #competition || 😲😲😲🤯🤯🤯,General Education,2024-10-21,10,33,False,16,30088495,896644,13421,53300,674,3.02,44641.68,564.51
dsP3XwLCbY4,Gohar Khan,Old School Computers,O/L Content,2024-04-24,7,35,False,0,34556335,1350918,4438,7810000,854,3.92,40464.09,4.42
Ul9cjg4C_DM,G - CHAMP ABACUS PADEGAON,G champ abacus 🧮 average visualization,General Education,2025-02-22,4,13,False,0,20972367,285488,562,18800,550,1.36,38131.58,1115.55
rKGG-02ZrXM,Saksham Skills Development Academy,Abacus - the whole-brain development programme #maths #education #kids #best #study #skills #shorts,Motivation & Tips,2023-08-21,0,17,False,1,36398543,573035,0,384000,1101,1.57,33059.53,94.79
knTAXh7yTVE,TIKTOKTAMIL360,Exam Result...😅 @tiktoktamil360 #shorts #exam #result #trending,General Education,2025-04-24,9,19,False,0,15511336,137968,0,2330000,489,0.89,31720.52,6.66
68kyLxIql30,English Speeches,I ate one meal a day | Samantha Ruth Prabhu,A/L Content,2022-10-26,7,59,False,0,38844119,1975284,2682,6480000,1400,5.09,27745.8,5.99
6GsM0nYD0FM,Sharmila George,Students Going To School 🤪 #shorts #sharmilageorge,O/L Content,2022-01-07,11,59,False,0,46549084,1569942,2873,2940000,1692,3.38,27511.28,15.83
lF0NeBtLFqg,Andy Jiang,The Most CLEVER Essay Ever #shorts,General Education,2024-09-26,2,60,False,0,15765110,1351827,3551,3440000,699,8.6,22553.81,4.58
tsCs7X80ud8,Bari Science Lab,Open any Physics Book & Ask me any question. I'll solve it in 10 Sec,General Education,2024-08-25,15,59,False,0,14438011,451687,5866,1420000,731,3.17,19751.04,10.17
Oqogt-cE6MM,Maneesh Vishnu,Taste of happiness ❤️💯 #youtubeshorts #couplegoals #mother,General Education,2023-06-18,8,28,False,0,18350977,523335,787,11900000,1165,2.86,15751.91,1.54
Y7C5i9KZDWY,Phomemo,Take notes with a mini printer that doesn’t use ink!📚#study #studywithme #studyvlog #phomemo #fyp,Motivation & Tips,2023-05-12,15,10,False,37,17882772,487371,3460,128000,1202,2.74,14877.51,139.71
UovePMvwhvs,JuicedItUp,1st VS 4th Year of Computer Science,General Education,2025-08-09,18,27,False,0,5552529,138005,1657,227000,382,2.52,14535.42,24.46
ATxoHEeUZsQ,SH Zoom Tech,simple science experiment | hot water and normal water 🔥😃 #shorts #video #school,A/L Content,2023-06-20,2,31,False,0,16885233,267286,310,178000,1163,1.58,14518.69,94.86
WAmwp-7NOlk,STUDY THAMBI ,How to Get 100 Marks in Maths 📚🚀 #shorts #studytips,Motivation & Tips,2025-09-16,14,39,False,13,3932992,86470,8608,112000,344,2.42,11433.12,35.12
vm5VYIznqt4,LKLogic,"At, On , In . When do you use it? English Grammar Test",General Education,2023-05-19,14,47,False,0,13640638,495812,29072,3210000,1195,3.85,11414.76,4.25
utXyHKcb9GM,Gohar Khan,The Hardest Math Test,General Education,2021-10-25,6,28,False,0,18977742,682912,6382,7810000,1766,3.63,10746.17,2.43
3C_0_IeI3t4,SL RUGBY EDITZ ,School Rugby best player | Shan Althaf Edit 4 #edit #srilanka #rugby #viral,O/L Content,2026-08-23,2,32,False,0,31925,1374,18,2920,3,4.36,10641.67,10.93
qtGbUEB4Mkk,Gohar Khan,Books That’ll Make You Smarter,General Education,2023-07-02,1,27,False,0,11874417,546935,2639,7810000,1151,4.63,10316.61,1.52
2DNqYAe17-A,BlackSheep Value,B.Com Ku Tamil la Enna Varum..? 🤔| #shorts | Gangstars | Bs Value,General Education,2023-03-07,9,53,False,5,12895194,543978,1859,834000,1268,4.23,10169.71,15.46
622EXk_tpmg,The Life Lesson ,A boy asked funny questions to APJ Abdul Kalam sir about the rocket.🚀 #inspiration #shortvideo,General Education,2025-02-27,14,19,False,0,5463049,162832,271,30600,545,2.99,10023.94,178.53
ge_YS8FFVuM,MRS CAREER GUIDE,TOP 10 HIGH SALARY Engineering Course | Best Engineering Jobs 2023,General Education,2023-08-18,6,37,False,9,10900274,368483,1683,78500,1104,3.4,9873.44,138.86
